age,sex,education,income,east-west,happiness,health,lived_abroad,orientation
74,Male,3,850,West,10,2,No,3
61,Female,3,500,East,8,2,No,6
43,Female,2,400,West,8,2,No,3
44,Male,3,1200,East,6,3,No,4
29,Male,3,1438,East,6,3,No,3
33,Female,4,827,East,9,4,No,4
42,Male,3,2500,West,8,3,No,2
39,Male,5,2300,East,8,4,No,2
42,Female,5,364,West,7,1,Yes,9
74,Female,2,580,East,6,4,No,3
34,Female,5,2800,West,8,4,No,3
26,Female,3,500,West,10,5,No,3
23,Female,5,550,West,9,5,No,4
52,Male,3,2100,East,6,4,No,6
50,Female,3,1500,West,9,4,No,6
49,Female,4,2096,West,4,2,Yes,2
61,Male,5,1200,West,9,4,No,6
32,Female,5,2375,West,8,4,No,6
33,Male,5,1300,East,8,4,No,2
38,Female,5,1200,West,8,4,No,2
80,Male,2,1200,West,5,4,Yes,6
56,Male,5,2125,East,8,3,No,1
90,Male,2,1800,East,5,1,No,1
38,Male,4,2500,West,10,3,No,5
78,Female,2,1300,East,8,3,Yes,1
67,Female,5,2400,West,10,4,No,3
77,Male,3,1800,West,10,3,No,6
64,Male,2,1600,West,7,3,No,6
46,Female,3,300,East,8,4,No,1
56,Male,3,2125,West,8,3,Yes,6
53,Male,3,2625,West,7,4,No,3
57,Female,3,3000,West,10,5,No,2
28,Male,4,3300,East,8,4,No,6
30,Female,3,800,West,6,3,Yes,9
57,Male,2,2250,West,9,4,No,2
49,Male,3,1300,West,8,2,No,2
65,Male,2,1000,East,7,3,No,9
50,Male,2,2500,West,7,3,No,4
57,Female,2,780,West,8,2,No,3
77,Female,2,700,West,8,4,No,6
30,Male,3,1600,West,10,5,No,2
51,Male,2,720,West,2,1,No,9
49,Male,5,4000,West,8,4,No,2
45,Male,5,4600,West,7,4,Yes,6
52,Male,2,1300,West,3,4,No,6
31,Female,3,1400,East,7,4,No,9
53,Female,3,450,East,2,1,No,11
43,Male,3,1188,East,8,4,No,9
64,Male,2,1700,West,8,4,No,3
64,Male,5,1900,East,10,5,No,6
47,Male,5,4500,West,9,5,No,6
29,Male,2,1600,East,8,4,No,11
50,Female,3,1313,West,5,3,No,3
63,Female,4,2500,West,8,4,No,5
24,Female,5,500,West,8,3,No,4
75,Male,2,1500,West,8,4,No,6
80,Male,5,2000,East,6,3,No,1
45,Male,3,688,West,4,2,Yes,3
70,Female,2,320,West,8,4,No,6
40,Male,5,1840,West,7,4,No,2
63,Female,1,220,West,10,3,No,3
32,Female,5,3400,West,10,4,Yes,6
38,Female,5,1188,East,9,4,No,2
25,Male,4,300,West,9,5,No,9
49,Female,2,700,West,9,3,No,6
76,Male,2,2300,West,9,3,No,6
40,Female,5,2000,East,8,4,Yes,2
80,Female,3,938,West,10,2,No,6
19,Male,4,300,West,7,5,No,3
49,Male,3,3300,East,8,4,No,5
23,Female,3,1500,West,8,4,No,3
52,Female,3,2350,West,9,5,No,3
61,Female,3,1063,West,10,4,No,2
20,Female,5,720,West,9,5,No,3
70,Male,3,615,East,6,2,No,1
62,Female,3,900,West,7,4,Yes,6
68,Male,3,2400,West,7,3,No,6
26,Female,5,1620,West,9,4,No,2
62,Female,4,1550,West,7,3,Yes,3
56,Male,5,4250,East,9,4,Yes,9
40,Female,3,1400,East,6,2,No,1
28,Female,5,450,West,8,5,No,3
59,Female,3,1650,East,9,4,No,6
58,Female,3,1700,East,6,3,No,1
76,Male,2,1200,West,9,2,No,5
47,Male,5,2125,West,8,3,No,3
50,Female,3,1100,West,7,4,No,2
48,Male,3,8000,West,9,3,No,3
59,Male,5,4100,East,9,3,No,6
59,Male,4,5000,West,8,4,No,6
